Item, Quantity, Value, Footprint,URL
C2 C3 C6 ,3,1uF,Capacitor_THT:CP_Radial_D5.0mm_P2.00mm,~
C4 C8 ,2,2.2uF,Capacitor_THT:CP_Radial_D5.0mm_P2.00mm,~
C1 C5 ,2,100n,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~
C7 ,1,4.7u,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~
D1 ,1,PGKE18CA-E3_54,Diode_THT:D_DO-15_P12.70mm_Horizontal,http://www.farnell.com/datasheets/2049206.pdf
D2 ,1,LED,LED_THT:LED_D3.0mm,~
D3 D4 ,2,1N4007,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,http://www.vishay.com/docs/88503/1n4001.pdf
J1 ,1,Door connector,Connector_JST:JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,~
J2 ,1,C2 connector,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,~
J3 ,1,FTDI connector,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical,~
J4 ,1,Relay Connector 2,TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal,~
J5 ,1,ACS712 PCB Connector,Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,~
J6 ,1,Relay Connector 1,TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal,~
Q2 ,1,2N7000,Package_TO_SOT_THT:TO-92_Inline,https://www.fairchildsemi.com/datasheets/2N/2N7000.pdf
Q1 Q3 ,2,FQU17P06TU,Package_TO_SOT_THT:TO-251-3_Vertical,http://www.farnell.com/datasheets/2304440.pdf
Q4 Q5 ,2,PN2222A,Package_TO_SOT_THT:TO-92_Inline,http://www.fairchildsemi.com/ds/PN/PN2222A.pdf
R1 R2 ,2,1K,Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,~
R10 ,1,5K6,Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal,~
R11 ,1,1K6,Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal,~
R15 ,1,5K1,Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal,~
R3 ,1,100R,Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,~
R4 ,1,1M,Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal,~
R5 ,1,8K2,Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal,~
R6 ,1,6K2,Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal,~
R7 ,1,2K2,Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal,~
R8 R12 R13 ,3,1K,Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal,~
R9 R14 ,2,10K,Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal,~
SW1 ,1,SW_Push,Button_Switch_THT:SW_PUSH_6mm,~
U1 ,1,LP2950-5.0_TO92,Package_TO_SOT_THT:TO-92_Inline,http://www.ti.com/lit/ds/symlink/lp2951-n.pdf
U2 ,1,LP2950-3.3_TO92,Package_TO_SOT_THT:TO-92_Inline,http://www.ti.com/lit/ds/symlink/lp2950-n.pdf
U3 ,1,EFM8BB21F16I-C-QSOP24,Package_SO:QSOP-24_3.9x8.7mm_P0.635mm,
Motor relay,2,"Multicomp SPDT, 14VDC, 30A MCCMA31-DC12V-C",,
Relay socket,2,5 pin automotive relay socket,,https://www.ebay.co.uk/itm/Prewired-4-5-Pin-Automotive-Relay-Socket-Holder-40A-12V/282011962572?ssPageName=STRK%3AMEBIDX%3AIT&_trksid=p2057872.m2749.l2649
6-way terminal block,1,Minimum 20A,,https://uk.farnell.com/hylec/hyks-05712pp/terminal-block-barrier-12pos/dp/2056629?CMP=i-bf9f-00001000
Current measurement PCB,1,ACS712 20A current measurement PCB,,https://www.ebay.co.uk/itm/ACS712-20A-Hall-effect-isolated-AC-DC-current-sensor-module-Arduino-STM32-Raspi/262669300939?ssPageName=STRK%3AMEBIDX%3AIT&_trksid=p2057872.m2749.l2649
5 pin inline connector,1,VW 357 972 755 / 357 972 765,,https://www.aliexpress.com/item/4000075476089.html?spm=a2g0s.9042311.0.0.33274c4dZ9zygE
2 pin inline connector,1,VW 357 972 762 / 357 972 752 ,,https://www.aliexpress.com/item/32457754886.html?spm=a2g0s.9042311.0.0.33274c4dZ9zygE
JST XH  4 pin connector,1,,,
JST XH  3 pin connector,2,,,
Rubber grommet,1,3/8” x ½”,,
17mm m2.5 standoffs,4,,,https://cpc.farnell.com/ettinger/05-12-173/spacer-hex-m2-5x17-ni/dp/PC01751?ost=17mm+m2.5+standoff
M2.5 nuts,6,,,
M2.5 6mm bolts,4,,,
M2.5 12mm bolts,2,,,
Main PCB,1,,,
3D printed case,1,,,
3D printed lid,1,,,
3D printed current PCB clamp,1,,,
3D printed current PCB spacer,1,,,
